model,split,pr_auc,precision,recall,f1,roc_auc,n,positive_support,negative_support,tn,fp,fn,tp
GMM,test,0.2941704401217953,0.34236453201970446,0.48771929824561405,0.402315484804631,0.8390845262069342,3186,285,2901,2634,267,146,139
Isolation Forest,test,0.16313142686943716,0.2847826086956522,0.45964912280701753,0.3516778523489933,0.7347938097570712,3186,285,2901,2572,329,154,131
XGBoost,test,0.16866406065271372,0.1704450041981528,0.712280701754386,0.2750677506775068,0.6175734925040972,3186,285,2901,1913,988,82,203
1D-CNN,test,0.0963573130474052,0.1178553363682347,0.8175438596491228,0.20601237842617154,0.5314271545806951,3186,285,2901,1157,1744,52,233
CNN + Transformer,test,0.08746864833949425,0.11904761904761904,0.40350877192982454,0.1838529176658673,0.5171743560901564,3186,285,2901,2050,851,170,115
CNN + Transformer + SSL,test,0.08753687413779114,0.11312217194570136,0.43859649122807015,0.17985611510791366,0.5021861789945392,3186,285,2901,1921,980,160,125
