model,bootstrap_unit,iterations_requested,iterations_with_positive_support,pr_auc_ci_low,pr_auc_ci_high,f1_ci_low,f1_ci_high
GMM,run,2000,1987,0.12003530241888928,0.546426765825944,0.16755436947915134,0.6394422920065252
Isolation Forest,run,2000,1987,0.05580426591736415,0.3813766386920304,0.10064743387909321,0.6261510128913443
XGBoost,run,2000,1987,0.048119807481466936,0.6341424023424287,0.11006143550085587,0.5185101008809827
1D-CNN,run,2000,1987,0.015273858634409264,0.22672381330560226,0.04314768656529472,0.3629764065335753
CNN + Transformer,run,2000,1987,0.01797314607707992,0.2030439520154928,0.02472504754816836,0.33051857695724274
CNN + Transformer + SSL,run,2000,1987,0.015657051995221244,0.19737705124852958,0.0,0.3278331547084552
