model,split,pr_auc,precision,recall,f1,roc_auc,n,positive_support,negative_support,tn,fp,fn,tp
GMM,test_greedy_nonoverlap,0.3556697401408889,0.35,0.4666666666666667,0.4,0.883030303030303,180,15,165,152,13,8,7
Isolation Forest,test_greedy_nonoverlap,0.18631433610390852,0.2916666666666667,0.4666666666666667,0.358974358974359,0.7826262626262627,180,15,165,148,17,8,7
XGBoost,test_greedy_nonoverlap,0.17820048863249355,0.16417910447761194,0.7333333333333333,0.2682926829268293,0.658989898989899,180,15,165,109,56,4,11
1D-CNN,test_greedy_nonoverlap,0.09374512697268905,0.10434782608695652,0.8,0.18461538461538463,0.5187878787878787,180,15,165,62,103,3,12
CNN + Transformer,test_greedy_nonoverlap,0.08939273679221058,0.12962962962962962,0.4666666666666667,0.2028985507246377,0.5232323232323233,180,15,165,118,47,8,7
CNN + Transformer + SSL,test_greedy_nonoverlap,0.08525220860338356,0.09523809523809523,0.4,0.15384615384615385,0.5042424242424243,180,15,165,108,57,9,6
